SampleID,CellType,n,freq,lev
BC_early_10,Myeloid cell,312,0.090671316,Majorcelltype_annotation
BC_early_10,Cancer/epithelial,1200,0.348735833,Majorcelltype_annotation
BC_early_10,Fibroblast,329,0.095611741,Majorcelltype_annotation
BC_early_10,EC,94,0.02731764,Majorcelltype_annotation
BC_early_11,T/NK cell,176,0.556962025,Majorcelltype_annotation
BC_early_11,B cell,13,0.041139241,Majorcelltype_annotation
BC_early_11,Myeloid cell,82,0.259493671,Majorcelltype_annotation
BC_early_11,Cancer/epithelial,25,0.079113924,Majorcelltype_annotation
BC_early_11,Fibroblast,8,0.025316456,Majorcelltype_annotation
BC_early_11,EC,12,0.037974684,Majorcelltype_annotation
BC_early_12,T/NK cell,1809,0.638545711,Majorcelltype_annotation
BC_early_12,B cell,483,0.170490646,Majorcelltype_annotation
BC_early_12,Myeloid cell,263,0.092834451,Majorcelltype_annotation
BC_early_12,Cancer/epithelial,209,0.073773385,Majorcelltype_annotation
BC_early_12,Fibroblast,40,0.014119308,Majorcelltype_annotation
BC_early_12,EC,29,0.010236498,Majorcelltype_annotation
BC_early_13,T/NK cell,62,0.016820402,Majorcelltype_annotation
BC_early_13,B cell,7,0.001899078,Majorcelltype_annotation
BC_early_13,Myeloid cell,86,0.023331525,Majorcelltype_annotation
BC_early_13,Cancer/epithelial,3267,0.886326641,Majorcelltype_annotation
BC_early_13,Fibroblast,146,0.039609333,Majorcelltype_annotation
BC_early_13,EC,118,0.032013022,Majorcelltype_annotation
BC_early_14,T/NK cell,2720,0.512048193,Majorcelltype_annotation
BC_early_14,B cell,284,0.053463855,Majorcelltype_annotation
BC_early_14,Myeloid cell,237,0.044615964,Majorcelltype_annotation
BC_early_14,Cancer/epithelial,1425,0.268260542,Majorcelltype_annotation
BC_early_14,Fibroblast,460,0.086596386,Majorcelltype_annotation
BC_early_14,EC,186,0.03501506,Majorcelltype_annotation
BC_early_15,T/NK cell,3062,0.615230058,Majorcelltype_annotation
BC_early_15,B cell,400,0.080369701,Majorcelltype_annotation
BC_early_15,Myeloid cell,396,0.079566004,Majorcelltype_annotation
BC_early_15,Cancer/epithelial,857,0.172192084,Majorcelltype_annotation
BC_early_15,Fibroblast,238,0.047819972,Majorcelltype_annotation
BC_early_15,EC,24,0.004822182,Majorcelltype_annotation
BC_early_16,T/NK cell,379,0.125372147,Majorcelltype_annotation
BC_early_16,B cell,37,0.012239497,Majorcelltype_annotation
BC_early_16,Myeloid cell,310,0.102547139,Majorcelltype_annotation
BC_early_16,Cancer/epithelial,2247,0.743301356,Majorcelltype_annotation
BC_early_16,Fibroblast,45,0.014885875,Majorcelltype_annotation
BC_early_16,EC,5,0.001653986,Majorcelltype_annotation
BC_early_17,T/NK cell,119,0.216757741,Majorcelltype_annotation
BC_early_17,B cell,2,0.003642987,Majorcelltype_annotation
BC_early_17,Myeloid cell,16,0.029143898,Majorcelltype_annotation
BC_early_17,Cancer/epithelial,194,0.353369763,Majorcelltype_annotation
BC_early_17,Fibroblast,145,0.264116576,Majorcelltype_annotation
BC_early_17,EC,73,0.132969035,Majorcelltype_annotation
BC_early_18,T/NK cell,71,0.110077519,Majorcelltype_annotation
BC_early_18,B cell,5,0.007751938,Majorcelltype_annotation
BC_early_18,Myeloid cell,20,0.031007752,Majorcelltype_annotation
BC_early_18,Cancer/epithelial,270,0.418604651,Majorcelltype_annotation
BC_early_18,Fibroblast,243,0.376744186,Majorcelltype_annotation
BC_early_18,EC,36,0.055813953,Majorcelltype_annotation
BC_early_19,T/NK cell,107,0.414728682,Majorcelltype_annotation
BC_early_19,B cell,5,0.019379845,Majorcelltype_annotation
BC_early_19,Myeloid cell,17,0.065891473,Majorcelltype_annotation
BC_early_19,Cancer/epithelial,65,0.251937984,Majorcelltype_annotation
BC_early_19,Fibroblast,53,0.205426357,Majorcelltype_annotation
BC_early_19,EC,11,0.042635659,Majorcelltype_annotation
BC_early_2,T/NK cell,1138,0.260829704,Majorcelltype_annotation
BC_early_2,B cell,119,0.027274811,Majorcelltype_annotation
BC_early_2,Myeloid cell,120,0.027504011,Majorcelltype_annotation
BC_early_2,Cancer/epithelial,2583,0.592023837,Majorcelltype_annotation
BC_early_2,Fibroblast,365,0.083658033,Majorcelltype_annotation
BC_early_2,EC,38,0.008709603,Majorcelltype_annotation
BC_early_20,T/NK cell,232,0.112621359,Majorcelltype_annotation
BC_early_20,B cell,51,0.024757282,Majorcelltype_annotation
BC_early_20,Myeloid cell,114,0.055339806,Majorcelltype_annotation
BC_early_20,Cancer/epithelial,1318,0.639805825,Majorcelltype_annotation
BC_early_20,Fibroblast,274,0.133009709,Majorcelltype_annotation
BC_early_20,EC,71,0.034466019,Majorcelltype_annotation
BC_early_21,T/NK cell,176,0.200684151,Majorcelltype_annotation
BC_early_21,B cell,76,0.086659065,Majorcelltype_annotation
BC_early_21,Myeloid cell,81,0.092360319,Majorcelltype_annotation
BC_early_21,Cancer/epithelial,348,0.396807298,Majorcelltype_annotation
BC_early_21,Fibroblast,148,0.168757127,Majorcelltype_annotation
BC_early_21,EC,48,0.054732041,Majorcelltype_annotation
BC_early_22,T/NK cell,2715,0.557037341,Majorcelltype_annotation
BC_early_22,B cell,886,0.181780878,Majorcelltype_annotation
BC_early_22,Myeloid cell,197,0.040418547,Majorcelltype_annotation
BC_early_22,Cancer/epithelial,847,0.173779237,Majorcelltype_annotation
BC_early_22,Fibroblast,201,0.041239229,Majorcelltype_annotation
BC_early_22,EC,28,0.005744768,Majorcelltype_annotation
BC_early_23,T/NK cell,182,0.06207367,Majorcelltype_annotation
BC_early_23,B cell,201,0.068553888,Majorcelltype_annotation
BC_early_23,Myeloid cell,128,0.043656207,Majorcelltype_annotation
BC_early_23,Cancer/epithelial,2059,0.702251023,Majorcelltype_annotation
BC_early_23,Fibroblast,324,0.110504775,Majorcelltype_annotation
BC_early_23,EC,38,0.012960437,Majorcelltype_annotation
BC_early_24,T/NK cell,202,0.167080232,Majorcelltype_annotation
BC_early_24,B cell,13,0.010752688,Majorcelltype_annotation
BC_early_24,Myeloid cell,96,0.079404467,Majorcelltype_annotation
BC_early_24,Cancer/epithelial,212,0.17535153,Majorcelltype_annotation
BC_early_24,Fibroblast,473,0.391232423,Majorcelltype_annotation
BC_early_24,EC,213,0.17617866,Majorcelltype_annotation
BC_early_25,T/NK cell,613,0.413909521,Majorcelltype_annotation
BC_early_25,B cell,100,0.067521945,Majorcelltype_annotation
BC_early_25,Myeloid cell,153,0.103308575,Majorcelltype_annotation
BC_early_25,Cancer/epithelial,567,0.382849426,Majorcelltype_annotation
BC_early_25,Fibroblast,38,0.025658339,Majorcelltype_annotation
BC_early_25,EC,10,0.006752194,Majorcelltype_annotation
BC_early_26,T/NK cell,65,0.081453634,Majorcelltype_annotation
BC_early_26,B cell,10,0.012531328,Majorcelltype_annotation
BC_early_26,Myeloid cell,47,0.058897243,Majorcelltype_annotation
BC_early_26,Cancer/epithelial,561,0.703007519,Majorcelltype_annotation
BC_early_26,Fibroblast,108,0.135338346,Majorcelltype_annotation
BC_early_26,EC,7,0.00877193,Majorcelltype_annotation
BC_early_27,T/NK cell,969,0.417672414,Majorcelltype_annotation
BC_early_27,B cell,153,0.065948276,Majorcelltype_annotation
BC_early_27,Myeloid cell,316,0.136206897,Majorcelltype_annotation
BC_early_27,Cancer/epithelial,576,0.248275862,Majorcelltype_annotation
BC_early_27,Fibroblast,268,0.115517241,Majorcelltype_annotation
BC_early_27,EC,38,0.01637931,Majorcelltype_annotation
BC_early_28,T/NK cell,649,0.133484163,Majorcelltype_annotation
BC_early_28,B cell,114,0.023447141,Majorcelltype_annotation
BC_early_28,Myeloid cell,242,0.049773756,Majorcelltype_annotation
BC_early_28,Cancer/epithelial,2912,0.598930481,Majorcelltype_annotation
BC_early_28,Fibroblast,801,0.164747018,Majorcelltype_annotation
BC_early_28,EC,144,0.029617441,Majorcelltype_annotation
BC_early_29,T/NK cell,117,0.041401274,Majorcelltype_annotation
BC_early_29,B cell,8,0.002830856,Majorcelltype_annotation
BC_early_29,Myeloid cell,79,0.027954706,Majorcelltype_annotation
BC_early_29,Cancer/epithelial,1915,0.677636235,Majorcelltype_annotation
BC_early_29,Fibroblast,664,0.234961076,Majorcelltype_annotation
BC_early_29,EC,43,0.015215853,Majorcelltype_annotation
BC_early_3,T/NK cell,2167,0.563882384,Majorcelltype_annotation
BC_early_3,B cell,510,0.132708821,Majorcelltype_annotation
BC_early_3,Myeloid cell,601,0.156388238,Majorcelltype_annotation
BC_early_3,Cancer/epithelial,457,0.118917512,Majorcelltype_annotation
BC_early_3,Fibroblast,63,0.016393443,Majorcelltype_annotation
BC_early_3,EC,45,0.011709602,Majorcelltype_annotation
BC_early_30,T/NK cell,631,0.256295695,Majorcelltype_annotation
BC_early_30,B cell,94,0.038180341,Majorcelltype_annotation
BC_early_30,Myeloid cell,87,0.035337124,Majorcelltype_annotation
BC_early_30,Cancer/epithelial,408,0.165718928,Majorcelltype_annotation
BC_early_30,Fibroblast,1069,0.434199838,Majorcelltype_annotation
BC_early_30,EC,173,0.070268075,Majorcelltype_annotation
BC_early_31,T/NK cell,380,0.211111111,Majorcelltype_annotation
BC_early_31,B cell,30,0.016666667,Majorcelltype_annotation
BC_early_31,Myeloid cell,153,0.085,Majorcelltype_annotation
BC_early_31,Cancer/epithelial,887,0.492777778,Majorcelltype_annotation
BC_early_31,Fibroblast,267,0.148333333,Majorcelltype_annotation
BC_early_31,EC,83,0.046111111,Majorcelltype_annotation
BC_early_4,T/NK cell,977,0.373470948,Majorcelltype_annotation
BC_early_4,B cell,519,0.198394495,Majorcelltype_annotation
BC_early_4,Myeloid cell,133,0.050840979,Majorcelltype_annotation
BC_early_4,Cancer/epithelial,334,0.127675841,Majorcelltype_annotation
BC_early_4,Fibroblast,475,0.181574924,Majorcelltype_annotation
BC_early_4,EC,178,0.068042813,Majorcelltype_annotation
BC_early_5,T/NK cell,1509,0.406738544,Majorcelltype_annotation
BC_early_5,B cell,329,0.088679245,Majorcelltype_annotation
BC_early_5,Myeloid cell,161,0.043396226,Majorcelltype_annotation
BC_early_5,Cancer/epithelial,643,0.173315364,Majorcelltype_annotation
BC_early_5,Fibroblast,741,0.199730458,Majorcelltype_annotation
BC_early_5,EC,327,0.088140162,Majorcelltype_annotation
BC_early_6,T/NK cell,36,0.220858896,Majorcelltype_annotation
BC_early_6,B cell,4,0.024539877,Majorcelltype_annotation
BC_early_6,Myeloid cell,16,0.098159509,Majorcelltype_annotation
BC_early_6,Cancer/epithelial,32,0.196319018,Majorcelltype_annotation
BC_early_6,Fibroblast,55,0.337423313,Majorcelltype_annotation
BC_early_6,EC,20,0.122699387,Majorcelltype_annotation
BC_early_7,T/NK cell,105,0.057065217,Majorcelltype_annotation
BC_early_7,B cell,3,0.001630435,Majorcelltype_annotation
BC_early_7,Myeloid cell,94,0.051086957,Majorcelltype_annotation
BC_early_7,Cancer/epithelial,1467,0.797282609,Majorcelltype_annotation
BC_early_7,Fibroblast,136,0.073913043,Majorcelltype_annotation
BC_early_7,EC,35,0.019021739,Majorcelltype_annotation
BC_early_8,T/NK cell,612,0.42090784,Majorcelltype_annotation
BC_early_8,B cell,81,0.055708391,Majorcelltype_annotation
BC_early_8,Myeloid cell,136,0.093535076,Majorcelltype_annotation
BC_early_8,Cancer/epithelial,271,0.186382393,Majorcelltype_annotation
BC_early_8,Fibroblast,196,0.13480055,Majorcelltype_annotation
BC_early_8,EC,158,0.10866575,Majorcelltype_annotation
BC_early_9,T/NK cell,281,0.083805547,Majorcelltype_annotation
BC_early_9,B cell,39,0.011631375,Majorcelltype_annotation
BC_early_9,Myeloid cell,235,0.07008649,Majorcelltype_annotation
BC_early_9,Cancer/epithelial,437,0.130331047,Majorcelltype_annotation
BC_early_9,Fibroblast,2312,0.689531763,Majorcelltype_annotation
BC_early_9,EC,49,0.014613779,Majorcelltype_annotation
CC_1,T/NK cell,1763,0.833964049,Majorcelltype_annotation
CC_1,B cell,329,0.155629139,Majorcelltype_annotation
CC_1,Myeloid cell,17,0.008041627,Majorcelltype_annotation
CC_1,Cancer/epithelial,4,0.001892148,Majorcelltype_annotation
CC_1,Fibroblast,1,0.000473037,Majorcelltype_annotation
CC_1,EC,0,0,Majorcelltype_annotation
CC_10,T/NK cell,22,0.023783784,Majorcelltype_annotation
CC_10,B cell,0,0,Majorcelltype_annotation
CC_10,Myeloid cell,12,0.012972973,Majorcelltype_annotation
CC_10,Cancer/epithelial,4,0.004324324,Majorcelltype_annotation
CC_10,Fibroblast,410,0.443243243,Majorcelltype_annotation
CC_10,EC,477,0.515675676,Majorcelltype_annotation
CC_11,T/NK cell,770,0.602032838,Majorcelltype_annotation
CC_11,B cell,24,0.01876466,Majorcelltype_annotation
CC_11,Myeloid cell,133,0.10398749,Majorcelltype_annotation
CC_11,Cancer/epithelial,147,0.114933542,Majorcelltype_annotation
CC_11,Fibroblast,194,0.151681001,Majorcelltype_annotation
CC_11,EC,11,0.008600469,Majorcelltype_annotation
CC_12,T/NK cell,16,0.042328042,Majorcelltype_annotation
CC_12,B cell,1,0.002645503,Majorcelltype_annotation
CC_12,Myeloid cell,15,0.03968254,Majorcelltype_annotation
CC_12,Cancer/epithelial,312,0.825396825,Majorcelltype_annotation
CC_12,Fibroblast,27,0.071428571,Majorcelltype_annotation
CC_12,EC,7,0.018518519,Majorcelltype_annotation
CC_13,T/NK cell,5,0.029761905,Majorcelltype_annotation
CC_13,B cell,0,0,Majorcelltype_annotation
CC_13,Myeloid cell,34,0.202380952,Majorcelltype_annotation
CC_13,Cancer/epithelial,125,0.744047619,Majorcelltype_annotation
CC_13,Fibroblast,4,0.023809524,Majorcelltype_annotation
CC_13,EC,0,0,Majorcelltype_annotation
CC_14,T/NK cell,332,0.430051813,Majorcelltype_annotation
CC_14,B cell,12,0.015544041,Majorcelltype_annotation
CC_14,Myeloid cell,170,0.220207254,Majorcelltype_annotation
CC_14,Cancer/epithelial,241,0.312176166,Majorcelltype_annotation
CC_14,Fibroblast,9,0.011658031,Majorcelltype_annotation
CC_14,EC,8,0.010362694,Majorcelltype_annotation
CC_15,T/NK cell,433,0.211116529,Majorcelltype_annotation
CC_15,B cell,4,0.001950268,Majorcelltype_annotation
CC_15,Myeloid cell,62,0.030229157,Majorcelltype_annotation
CC_15,Cancer/epithelial,116,0.056557777,Majorcelltype_annotation
CC_15,Fibroblast,1114,0.543149683,Majorcelltype_annotation
CC_15,EC,322,0.156996587,Majorcelltype_annotation
CC_2,T/NK cell,70,0.040253019,Majorcelltype_annotation
CC_2,B cell,1,0.000575043,Majorcelltype_annotation
CC_2,Myeloid cell,77,0.044278321,Majorcelltype_annotation
CC_2,Cancer/epithelial,1023,0.58826912,Majorcelltype_annotation
CC_2,Fibroblast,549,0.315698677,Majorcelltype_annotation
CC_2,EC,19,0.010925819,Majorcelltype_annotation
CC_3,T/NK cell,256,0.20414673,Majorcelltype_annotation
CC_3,B cell,15,0.011961722,Majorcelltype_annotation
CC_3,Myeloid cell,67,0.053429027,Majorcelltype_annotation
CC_3,Cancer/epithelial,101,0.080542265,Majorcelltype_annotation
CC_3,Fibroblast,621,0.495215311,Majorcelltype_annotation
CC_3,EC,194,0.154704944,Majorcelltype_annotation
CC_4,T/NK cell,180,0.082796688,Majorcelltype_annotation
CC_4,B cell,83,0.038178473,Majorcelltype_annotation
CC_4,Myeloid cell,127,0.058417663,Majorcelltype_annotation
CC_4,Cancer/epithelial,1684,0.774609016,Majorcelltype_annotation
CC_4,Fibroblast,93,0.042778289,Majorcelltype_annotation
CC_4,EC,7,0.003219871,Majorcelltype_annotation
CC_5,T/NK cell,5,0.138888889,Majorcelltype_annotation
CC_5,B cell,0,0,Majorcelltype_annotation
CC_5,Myeloid cell,3,0.083333333,Majorcelltype_annotation
CC_5,Cancer/epithelial,0,0,Majorcelltype_annotation
CC_5,Fibroblast,23,0.638888889,Majorcelltype_annotation
CC_5,EC,5,0.138888889,Majorcelltype_annotation
CC_6,T/NK cell,3234,0.785523439,Majorcelltype_annotation
CC_6,B cell,718,0.174398834,Majorcelltype_annotation
CC_6,Myeloid cell,123,0.029876123,Majorcelltype_annotation
CC_6,Cancer/epithelial,12,0.002914744,Majorcelltype_annotation
CC_6,Fibroblast,19,0.004615011,Majorcelltype_annotation
CC_6,EC,11,0.002671848,Majorcelltype_annotation
CC_7,T/NK cell,36,0.349514563,Majorcelltype_annotation
CC_7,B cell,7,0.067961165,Majorcelltype_annotation
CC_7,Myeloid cell,28,0.27184466,Majorcelltype_annotation
CC_7,Cancer/epithelial,16,0.155339806,Majorcelltype_annotation
CC_7,Fibroblast,13,0.126213592,Majorcelltype_annotation
CC_7,EC,3,0.029126214,Majorcelltype_annotation
CC_8,T/NK cell,385,0.149688958,Majorcelltype_annotation
CC_8,B cell,38,0.014774495,Majorcelltype_annotation
CC_8,Myeloid cell,199,0.077371695,Majorcelltype_annotation
CC_8,Cancer/epithelial,576,0.223950233,Majorcelltype_annotation
CC_8,Fibroblast,1201,0.466951788,Majorcelltype_annotation
CC_8,EC,173,0.06726283,Majorcelltype_annotation
CC_9,T/NK cell,16,0.112676056,Majorcelltype_annotation
CC_9,B cell,2,0.014084507,Majorcelltype_annotation
CC_9,Myeloid cell,4,0.028169014,Majorcelltype_annotation
CC_9,Cancer/epithelial,115,0.809859155,Majorcelltype_annotation
CC_9,Fibroblast,5,0.035211268,Majorcelltype_annotation
CC_9,EC,0,0,Majorcelltype_annotation
CRC_1,T/NK cell,782,0.146716698,Majorcelltype_annotation
CRC_1,B cell,37,0.006941839,Majorcelltype_annotation
CRC_1,Myeloid cell,814,0.15272045,Majorcelltype_annotation
CRC_1,Cancer/epithelial,2885,0.541275797,Majorcelltype_annotation
CRC_1,Fibroblast,607,0.113883677,Majorcelltype_annotation
CRC_1,EC,205,0.038461538,Majorcelltype_annotation
CRC_10,T/NK cell,163,0.152764761,Majorcelltype_annotation
CRC_10,B cell,297,0.278350515,Majorcelltype_annotation
CRC_10,Myeloid cell,45,0.042174321,Majorcelltype_annotation
CRC_10,Cancer/epithelial,113,0.105904405,Majorcelltype_annotation
CRC_10,Fibroblast,396,0.371134021,Majorcelltype_annotation
CRC_10,EC,53,0.049671978,Majorcelltype_annotation
CRC_11,T/NK cell,181,0.159893993,Majorcelltype_annotation
CRC_11,B cell,290,0.256183746,Majorcelltype_annotation
CRC_11,Myeloid cell,149,0.131625442,Majorcelltype_annotation
CRC_11,Cancer/epithelial,210,0.185512367,Majorcelltype_annotation
CRC_11,Fibroblast,182,0.160777385,Majorcelltype_annotation
CRC_11,EC,120,0.106007067,Majorcelltype_annotation
CRC_12,T/NK cell,36,0.033834586,Majorcelltype_annotation
CRC_12,B cell,687,0.645676692,Majorcelltype_annotation
CRC_12,Myeloid cell,66,0.062030075,Majorcelltype_annotation
CRC_12,Cancer/epithelial,26,0.02443609,Majorcelltype_annotation
CRC_12,Fibroblast,237,0.222744361,Majorcelltype_annotation
CRC_12,EC,12,0.011278195,Majorcelltype_annotation
CRC_13,T/NK cell,82,0.048434731,Majorcelltype_annotation
CRC_13,B cell,407,0.240401654,Majorcelltype_annotation
CRC_13,Myeloid cell,181,0.106910809,Majorcelltype_annotation
CRC_13,Cancer/epithelial,500,0.295333727,Majorcelltype_annotation
CRC_13,Fibroblast,347,0.204961607,Majorcelltype_annotation
CRC_13,EC,176,0.103957472,Majorcelltype_annotation
CRC_14,T/NK cell,29,0.012866016,Majorcelltype_annotation
CRC_14,B cell,682,0.302573203,Majorcelltype_annotation
CRC_14,Myeloid cell,122,0.054125998,Majorcelltype_annotation
CRC_14,Cancer/epithelial,317,0.140638864,Majorcelltype_annotation
CRC_14,Fibroblast,849,0.376663709,Majorcelltype_annotation
CRC_14,EC,255,0.113132209,Majorcelltype_annotation
CRC_2,T/NK cell,237,0.099454469,Majorcelltype_annotation
CRC_2,B cell,374,0.156945027,Majorcelltype_annotation
CRC_2,Myeloid cell,368,0.154427193,Majorcelltype_annotation
CRC_2,Cancer/epithelial,517,0.21695342,Majorcelltype_annotation
CRC_2,Fibroblast,817,0.342845153,Majorcelltype_annotation
CRC_2,EC,70,0.029374738,Majorcelltype_annotation
CRC_3,T/NK cell,2801,0.328601595,Majorcelltype_annotation
CRC_3,B cell,1568,0.183951197,Majorcelltype_annotation
CRC_3,Myeloid cell,547,0.06417175,Majorcelltype_annotation
CRC_3,Cancer/epithelial,2653,0.311238855,Majorcelltype_annotation
CRC_3,Fibroblast,649,0.076137963,Majorcelltype_annotation
CRC_3,EC,306,0.035898639,Majorcelltype_annotation
CRC_4,T/NK cell,201,0.090622182,Majorcelltype_annotation
CRC_4,B cell,484,0.218214608,Majorcelltype_annotation
CRC_4,Myeloid cell,266,0.119927863,Majorcelltype_annotation
CRC_4,Cancer/epithelial,634,0.285843102,Majorcelltype_annotation
CRC_4,Fibroblast,580,0.261496844,Majorcelltype_annotation
CRC_4,EC,53,0.023895401,Majorcelltype_annotation
CRC_5,T/NK cell,483,0.096619324,Majorcelltype_annotation
CRC_5,B cell,103,0.020604121,Majorcelltype_annotation
CRC_5,Myeloid cell,633,0.126625325,Majorcelltype_annotation
CRC_5,Cancer/epithelial,2474,0.49489898,Majorcelltype_annotation
CRC_5,Fibroblast,1163,0.232646529,Majorcelltype_annotation
CRC_5,EC,143,0.028605721,Majorcelltype_annotation
CRC_6,T/NK cell,511,0.28483835,Majorcelltype_annotation
CRC_6,B cell,311,0.17335563,Majorcelltype_annotation
CRC_6,Myeloid cell,99,0.055183946,Majorcelltype_annotation
CRC_6,Cancer/epithelial,686,0.38238573,Majorcelltype_annotation
CRC_6,Fibroblast,173,0.096432553,Majorcelltype_annotation
CRC_6,EC,14,0.00780379,Majorcelltype_annotation
CRC_7,T/NK cell,1707,0.316638843,Majorcelltype_annotation
CRC_7,B cell,818,0.151734372,Majorcelltype_annotation
CRC_7,Myeloid cell,387,0.071786311,Majorcelltype_annotation
CRC_7,Cancer/epithelial,1636,0.303468744,Majorcelltype_annotation
CRC_7,Fibroblast,536,0.099424968,Majorcelltype_annotation
CRC_7,EC,307,0.056946763,Majorcelltype_annotation
CRC_8,T/NK cell,222,0.123539232,Majorcelltype_annotation
CRC_8,B cell,226,0.125765164,Majorcelltype_annotation
CRC_8,Myeloid cell,279,0.155258765,Majorcelltype_annotation
CRC_8,Cancer/epithelial,394,0.219254313,Majorcelltype_annotation
CRC_8,Fibroblast,600,0.333889816,Majorcelltype_annotation
CRC_8,EC,76,0.04229271,Majorcelltype_annotation
CRC_9,T/NK cell,152,0.128161889,Majorcelltype_annotation
CRC_9,B cell,163,0.137436762,Majorcelltype_annotation
CRC_9,Myeloid cell,226,0.190556492,Majorcelltype_annotation
CRC_9,Cancer/epithelial,169,0.142495784,Majorcelltype_annotation
CRC_9,Fibroblast,271,0.228499157,Majorcelltype_annotation
CRC_9,EC,205,0.172849916,Majorcelltype_annotation
GBM_1,T/NK cell,300,0.057383321,Majorcelltype_annotation
GBM_1,B cell,0,0,Majorcelltype_annotation
GBM_1,Myeloid cell,2277,0.435539403,Majorcelltype_annotation
GBM_1,Cancer/epithelial,2640,0.504973221,Majorcelltype_annotation
GBM_1,Fibroblast,11,0.002104055,Majorcelltype_annotation
GBM_1,EC,0,0,Majorcelltype_annotation
GBM_2,T/NK cell,30,0.015641293,Majorcelltype_annotation
GBM_2,B cell,0,0,Majorcelltype_annotation
GBM_2,Myeloid cell,976,0.508863399,Majorcelltype_annotation
GBM_2,Cancer/epithelial,903,0.47080292,Majorcelltype_annotation
GBM_2,Fibroblast,9,0.004692388,Majorcelltype_annotation
GBM_2,EC,0,0,Majorcelltype_annotation
GBM_3,T/NK cell,201,0.048433735,Majorcelltype_annotation
GBM_3,B cell,0,0,Majorcelltype_annotation
GBM_3,Myeloid cell,2336,0.562891566,Majorcelltype_annotation
